ExerciseID,Software,Topic,Level,Exercise,Number
56,SQL,Basic joins,Harder than average,Use an outer join and criterion to list out the countries which have no corresponding events.,4123
57,SQL,Basic joins,Harder than average,"Use inner joins to link lots of tables together, with a WHERE clause.",4035
58,SQL,More exotic joins,Relatively easy,Use outer joins in SQL queries to return every row from a table of concert tours.,5197
59,SQL,More exotic joins,Average difficulty,Use outer joins in SQL queries to return a list of music artists who don't have any associated concert tours.,5198
60,SQL,More exotic joins,Average difficulty,Write an SQL outer join to show unmatched records in another table.,4034
61,SQL,More exotic joins,Harder than average,"Create 2 self-joins between a table of families and itself, to show families, their parents and their grandparents.",4124
62,SQL,More exotic joins,Harder than average,"Use inner and outer joins in SQL queries to return lists of albums, artists and concert tours.",5199
63,SQL,Aggregation and grouping,Relatively easy,"Use COUNT, MAX and MIN to show statistics about the rows in the events table.",4125
64,SQL,Aggregation and grouping,Relatively easy,Use GROUP BY and COUNT to report on the number of events for each category.,4126
65,SQL,Aggregation and grouping,Relatively easy,Use grouping to show how many episodes each Doctor Who author wrote.,4036
66,SQL,Aggregation and grouping,Relatively easy,Use SQL queries to group a list of music artists and create statistics related to their albums.,5201
67,SQL,Aggregation and grouping,Relatively easy,Use the GROUP BY clause in SQL queries to calculate aggregated values for a list of music artists.,5200
68,SQL,Aggregation and grouping,Average difficulty,Group by 2 fields and use HAVING clause to show popular combinations.,4037
69,SQL,Aggregation and grouping,Average difficulty,"Use SELECT, FROM, WHERE, GROUP BY, HAVING and ORDER BY to list non-European busy countries.",4127
70,SQL,Aggregation and grouping,Average difficulty,Write SQL queries to group concerts by multiple different geographic columns and create basic aggregations.,5202
71,SQL,Aggregation and grouping,Harder than average,"Combine CAST, AVG, COUNT, LEN, UPPER and LEFT to show the average length of event names by category initial.",4128
72,SQL,Aggregation and grouping,Harder than average,"Use a complex CASE statement to show the number of events for each century, including the CUBE function.",4129
73,SQL,Aggregation and grouping,Harder than average,Use lots of grouping and criteria to list out year/doctor episode counts.,4038
74,SQL,Aggregation and grouping,Harder than average,Use SQL queries to group a list of albums by multiple columns and create subtotals for the groups.,5203
75,SQL,Views,Relatively easy,Use the view designer in SQL Server Management Studio to create a view showing a list of concerts and locations.,5205
76,SQL,Views,Relatively easy,"Use the view designer to create a view, and change it in SQL.",4039
77,SQL,Views,Average difficulty,Create a view in SQL Server to show a list of number 1 albums and fields from other tables.,5204
78,SQL,Views,Average difficulty,"Create a view in the view designer, tidy up its SQL and use it to select data.",4130
79,SQL,Views,Average difficulty,"Script a view in a query, then use the view designer to edit it.",4040
80,SQL,Views,Average difficulty,"Write a view to combine tables, then use this as a basis for a grouping query.",4131
81,SQL,Views,Harder than average,Use views based on views to show Doctor Who episodes with only 1 enemy and 1 companion.,4041
82,SQL,Subqueries,Relatively easy,Use a subquery to show events which happened since the last one for a particular country occurred.,4132
83,SQL,Subqueries,Relatively easy,Use subqueries in SQL to use aggregate functions as criteria for other queries.,5206
84,SQL,Subqueries,Relatively easy,Use subqueries to filter with aggregates.,4227
85,SQL,Subqueries,Average difficulty,Create a correlated subquery to list out all countries having more than 8 events.,4133
86,SQL,Subqueries,Average difficulty,Use subqueries in SQL to return a list of longer than average music albums.,5207
87,SQL,Subqueries,Average difficulty,Using sub queries filter the select statement.,4228
88,SQL,Subqueries,Harder than average,Use nested subqueries in SQL Server to return different sets of results in a database of music.,5208
89,SQL,Subqueries,Harder than average,Use two subqueries to list all events in neither the last 30 countries or the last 15 categories.,4134
90,SQL,Stored procedures,Relatively easy,Create a basic SQL stored procedure to return a list of number 1 music albums.,5214
91,SQL,Stored procedures,Relatively easy,Create a stored procedure to list Dr Who episodes featuring Matt Smith.,3965
92,SQL,Stored procedures,Relatively easy,"Filter the select statement, only show events occuring in August.",4198
93,SQL,Stored procedures,Relatively easy,"Write a basic procedure to list countries in Asia, then make small changes to it.",4267
94,SQL,Stored procedures,Average difficulty,Create a SQL stored procedure to return a list of rock and roll music albums.,5215
95,SQL,Stored procedures,Average difficulty,Create a stored procedure to list Dr Who episodes written by Steven Moffat.,3966
96,SQL,Stored procedures,Harder than average,Create a SQL stored procedure to return a list of concert tours and shows.,5217
97,SQL,Stored procedures,Harder than average,Create a stored procedure to list Dr Who episodes by frequency in two ways.,3967
98,SQL,Variables,Relatively easy,"Create a simple stored procedure with a single variable to work out your age, and then print it out.",1772
99,SQL,Variables,Relatively easy,Declare 3 variables to hold different data types.,4199
100,SQL,Variables,Relatively easy,Use a variable holding a row id to get at the details for a row.,3968
101,SQL,Variables,Relatively easy,Use variables to store the values used in the WHERE clause of SQL queries.,5220
102,SQL,Variables,Relatively easy,Using variables create a summary output window of aggregated data.,4202
103,SQL,Variables,Average difficulty,Filtering a stored procedure using variables.,4201
104,SQL,Variables,Average difficulty,Read a list of the enemies of Doctor Who into a string variable.,3969
105,SQL,Variables,Average difficulty,Use variables in SQL to capture the results of aggregation functions in queries of a Music database.,5222
106,SQL,Variables,Harder than average,Create a list variable to store all the events released in a specified year.,4203
107,SQL,Variables,Harder than average,"Given the name of a Doctor Who, use variables to print details for him.",3970
108,SQL,Variables,Harder than average,Use variables in SQL to capture statistics about venues in a database of music.,5225
109,SQL,Parameters and return values,Relatively easy,Add parameters to a SQL stored procedure which returns a list of music albums.,5226
110,SQL,Parameters and return values,Relatively easy,Get a stored procedure to list the Dr Who episodes for a given enemy.,3971
111,SQL,Parameters and return values,Relatively easy,Use return values in SQL Server to pass values between stored procedures and return details of music albums.,5232
112,SQL,Parameters and return values,Average difficulty,Create a procedure to list out the companions for a given doctor.,3973
113,SQL,Parameters and return values,Average difficulty,Create a stored procedure in SQL Server using parameters to filter a list of venues.,5227
114,SQL,Parameters and return values,Average difficulty,"Create a stored procedure to list Dr Who episodes for a series number, using a default parameter value.",3972
115,SQL,Parameters and return values,Average difficulty,Create a stored procedure with NULLs as the default values.,4213
116,SQL,Parameters and return values,Average difficulty,Create stored procedures with default values for the parameters.,4211
117,SQL,Parameters and return values,Average difficulty,Filter in a stored procedure using a parameter.,4200
118,SQL,Parameters and return values,Average difficulty,Use an output parameter to return a list variable of the most eventful continents.,4224
119,SQL,Parameters and return values,Average difficulty,Use optional parameters in SQL Server stored procedures to return a list of concerts.,5229
120,SQL,Parameters and return values,Average difficulty,Use return values in SQL Server to capture the result of a stored procedure.,5233
121,SQL,Parameters and return values,Average difficulty,Use return values to bring back an INT return value from a stored procedure.,4218
122,SQL,Parameters and return values,Harder than average,Count rows and pass the information out of a procedure using output parameters.,3974
123,SQL,Parameters and return values,Harder than average,Create a SQL stored procedure with multiple optional parameters.,5231
124,SQL,Parameters and return values,Harder than average,"Return a continent name from one procedure, and pass the output value into another.",4223
125,SQL,Parameters and return values,Harder than average,Return from a stored proecure the name of the country with the most events and how many events there were.,4220
126,SQL,Testing conditions,Relatively easy,Use IF statements in a SQL stored procedure to return the results of different SELECT statements.,5234
127,SQL,Testing conditions,Average difficulty,Use IF statements in SQL to validate the values passed in to parameters of a stored procedure.,5235
128,SQL,Testing conditions,Average difficulty,Use IF to change the SELECT statement that a stored proc runs.,4204
129,SQL,Looping,Relatively easy,Use a WHILE loop in SQL to create a stored procedure which lists times tables.,5238
130,SQL,Looping,Average difficulty,Create a loop to perform a count for each year of a given range.,4205
131,SQL,Looping,Average difficulty,Use a WHILE loop in SQL to count albums reaching different chart positions.,5239
132,SQL,Looping,Harder than average,Use a loop to show a comma-delimited list of all the films released in each month.,4206
133,SQL,Looping,Harder than average,Write a nested WHILE loop to find the first N primes.,1783
134,SQL,Scalar functions,Relatively easy,Count the number of letters for an event using a scalar function.,4265
135,SQL,Scalar functions,Relatively easy,Create a user-defined function in SQL Server to calculate album sales certifications.,5241
136,SQL,Scalar functions,Relatively easy,Use a scalar function to include each Dr Who's incarnation dates in a query.,3976
137,SQL,Scalar functions,Average difficulty,Create a function to take in any month number and return the month name.,4207
138,SQL,Scalar functions,Average difficulty,Create a user-defined function in SQL Server to clean up any text passed into it.,5243
139,SQL,Scalar functions,Average difficulty,Use an SQL function within a query to find out the part number of any Dr Who episode.,3975
140,SQL,Scalar functions,Harder than average,Create all sorts of scalar functions in SQL to return info about Dr Who episodes from within a query.,3977
141,SQL,Scalar functions,Harder than average,Create scalar-valued functions in SQL Server to extract information in a list of venues.,5244
142,SQL,Scalar functions,Harder than average,Use a CASE statement to classify each event according to whether it is the top of its class or not.,4222
143,SQL,Transactions,Relatively easy,"Create a transaction, add Shaun the Sheep as a Doctor Who, then commit or roll this back.",3978
144,SQL,Transactions,Relatively easy,Use transactions in SQL to control what happens when you modify data in tables.,5249
145,SQL,Transactions,Average difficulty,"Create a transaction to update all countries that aren't your own, then roll it back.",4225
146,SQL,Transactions,Average difficulty,Create a transaction which prevents the same event being added multiple times.,4208
147,SQL,Transactions,Average difficulty,"Update the number of Dr Who enemies within a transaction, and commit or roll this back.",3979
148,SQL,Transactions,Average difficulty,"Use the Insert, Update and Delete commands in a single transaction.",4226
149,SQL,Creating tables,Relatively easy,"Use INSERT, UPDATE and DELETE statements in SQL Server to modify data in a table of music artists.",5246
150,SQL,Creating tables,Average difficulty,"Create a table of genres for books using CREATE TABLE, then insert a few rows using INSERT INTO.",1789
151,SQL,Creating tables,Average difficulty,Store useful information about continents in a new permanent table.,4229
152,SQL,Creating tables,Average difficulty,"Write a SQL query to create a table of companies, and add two rows to it.",3980
153,SQL,Creating tables,Average difficulty,Write a SQL script to create a table to store movies and use a foreign key to connect it to a table of albums.,5248
154,SQL,Creating tables,Harder than average,"Create a table of genres for books, and create a foreign key constraint linking this to a table of authors.",1790
155,SQL,Temporary tables and table variables,Relatively easy,"Declare a table variable, and copy the Dr Who companions, enemies and doctors into it.",3982
156,SQL,Temporary tables and table variables,Relatively easy,"Try both methods of creating Temporary tables, using INTO and CREATE.",4232
157,SQL,Temporary tables and table variables,Relatively easy,Use a temporary table in SQL Server to store a list of concerts cancelled due to COVID.,5250
158,SQL,Temporary tables and table variables,Relatively easy,"Write SQL to put Dr Who rows in a temporary table, and add companions and enemies into this.",3981
159,SQL,Temporary tables and table variables,Average difficulty,Add rows one by one within a loop into a temporary table that you've created.,4231
160,SQL,Temporary tables and table variables,Average difficulty,Use a table variable in SQL Server to store a list of non-charting albums and singles.,5253
161,SQL,Temporary tables and table variables,Average difficulty,Use a table variable to hold useful information from several sources together.,4233
162,SQL,Temporary tables and table variables,Average difficulty,Use a table variable to join one set of data to another table.,4234
163,SQL,Temporary tables and table variables,Average difficulty,Use a temporary table in SQL Server to compile a list of chart-topping albums and singles.,5251
164,SQL,Temporary tables and table variables,Average difficulty,Use a temporary table or table variable to combine the best Doctor Who episodes into a single table.,3983
165,SQL,Temporary tables and table variables,Harder than average,Use a table variable or temporary table to build up a list of database problems in a single table.,3984
166,SQL,Temporary tables and table variables,Harder than average,Use a temporary table or a table variable to collate a set of concert statistics in SQL Server.,5255
167,SQL,Temporary tables and table variables,Harder than average,Write the names of your stored procedures and functions to a temporary table or table variable.,3985
168,SQL,Table-valued functions,Relatively easy,Create a table valued function in SQL Server to return statistics about concerts in a given year.,5256
169,SQL,Table-valued functions,Relatively easy,Create a table-valued function to list events for a given year.,4263
170,SQL,Table-valued functions,Relatively easy,List episodes made by any given doctor by using a table function in SQL.,3986
171,SQL,Table-valued functions,Average difficulty,"Create a table-valued function in SQL Server to return a list of singles, albums and tours whose names match a search string.",5258
172,SQL,Table-valued functions,Average difficulty,Create an inline tabled valued function taking two parameters.,4252
173,SQL,Table-valued functions,Average difficulty,"Return a table of episodes for a series number and author, using a table-valued function.",3987
174,SQL,Table-valued functions,Harder than average,"Show episodes, listing companions or enemies according to parameter, using an MSTVF function.",3988
175,SQL,Table-valued functions,Harder than average,"Use a MSTVF to show categories, countries and continents that contain a given vowel.",4253
176,SQL,Derived tables and CTEs,Relatively easy,"Create an expression in a common table expression, and group by this in a query using the CTE.",4170
177,SQL,Derived tables and CTEs,Relatively easy,Use a Common Table Expression in a SQL query to categorise music albums according to sales certifications.,5211
178,SQL,Derived tables and CTEs,Relatively easy,Use a Common Table Expression to write a complex query in two distinct parts.,3989
179,SQL,Derived tables and CTEs,Relatively easy,Use a CTE to group a query by a CASE expression without including it twice.,4264
180,SQL,Derived tables and CTEs,Relatively easy,Use a derived table subquery in SQL Server to categorise a list of venues by size.,5260
181,SQL,Derived tables and CTEs,Average difficulty,"Create a CTE to show - amazingly easily - events containing the words THIS and THAT, in this order.",4135
182,SQL,Derived tables and CTEs,Average difficulty,"Show enemies appearing in chosen episodes, using a Common Table Expression (CTE).",3990
183,SQL,Derived tables and CTEs,Average difficulty,Use a basic CTE to hold filtered data before joining onto another table.,4250
184,SQL,Derived tables and CTEs,Average difficulty,Use a common table expression (CTE) in a SQL query to aggregate information about tracks on albums.,5212
185,SQL,Derived tables and CTEs,Average difficulty,Use a derived table subquery in SQL Server to display details of venues and statistics for concerts.,5261
186,SQL,Derived tables and CTEs,Average difficulty,Use a derived table to hold a select statement. Then join another table on.,4251
187,SQL,Derived tables and CTEs,Average difficulty,Use linked CTEs to show continents having many countries but few events.,4266
188,SQL,Derived tables and CTEs,Harder than average,Create a CTE - common table expression - to display breadcrumbs using recursion.,1879
189,SQL,Derived tables and CTEs,Harder than average,Create two CTEs to hold data before joining them together.,4249
190,SQL,Derived tables and CTEs,Harder than average,"For each combination of the top 3 categories and top 3 countries, count the number of events using CTEs.",4136
191,SQL,Derived tables and CTEs,Harder than average,Use a series of CTEs to show categories for countries for events not containing the letters OWL.,4137
192,SQL,Derived tables and CTEs,Harder than average,"Use common table expressions, subqueries or any other technique to solve a complex query.",3991
193,SQL,Derived tables and CTEs,Harder than average,Use CTEs in a SQL query to return details of venues and statistics of shows held at them.,5213
194,SQL,Derived tables and CTEs,Harder than average,Use derived table subqueries in SQL Server to merge the results of different grouping queries into a single result set.,5262
195,SQL,Dynamic SQL,Relatively easy,Create a stored procedure which can change the name of the table in the FROM clause.,4219
196,SQL,Dynamic SQL,Average difficulty,"Create a query which selects whatever columns, sort order and table you pass in as parameters, using dynamic SQL.",1804
197,SQL,Dynamic SQL,Average difficulty,Write a procedure using EXEC which varies the sort column according to the parameter value passed.,3992
198,SQL,Dynamic SQL,Harder than average,Using a comma-delimited list variable filter another select statement using dynamic SQL.,4221
199,SQL,Pivots,Average difficulty,Show the number of episodes by year and series number as pivoted data.,4168
200,SQL,Pivots,Harder than average,Show complete list of column headers using dynamic SQL and the PIVOT command.,4169
201,SQL,Triggers,Average difficulty,"Use a trigger to log when anyone adds, deletes or renames a country.",4275
202,SQL,Triggers,Harder than average,Prevent anyone deleting events in the UK with an INSTEAD OF DELETE trigger.,4274
